GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1484,1,independent.ie,ie,21248,37875,independent.ie,ie,1476,1,21234,37822
2243,2,rte.ie,ie,16370,27160,rte.ie,ie,2250,2,16329,27120
2852,3,tcd.ie,ie,14052,20329,tcd.ie,ie,2863,3,14001,20246
3738,4,google.ie,ie,11877,18547,google.ie,ie,3713,4,11896,18627
4097,5,ucd.ie,ie,11208,15759,ucd.ie,ie,4087,5,11213,15764
4391,6,thejournal.ie,ie,10728,18328,thejournal.ie,ie,4390,6,10730,18297
4583,7,ucc.ie,ie,10448,14622,ucc.ie,ie,4562,7,10483,14663
5919,8,blogspot.ie,ie,8824,14274,blogspot.ie,ie,5898,8,8829,14251
7689,9,dcu.ie,ie,7432,10053,dcu.ie,ie,7665,9,7449,10070
7848,10,iol.ie,ie,7341,9737,iol.ie,ie,7836,10,7346,9771
8170,11,nuigalway.ie,ie,7157,9573,nuigalway.ie,ie,8154,11,7163,9580
9145,12,ul.ie,ie,6631,8700,ul.ie,ie,9087,12,6657,8684
9919,13,irishmirror.ie,ie,6284,10858,irishmirror.ie,ie,9918,13,6286,10825
10081,14,greenplanet.ie,ie,6218,8790,greenplanet.ie,ie,10022,14,6241,8806
10810,15,ebay.ie,ie,5927,9189,ebay.ie,ie,10717,15,5955,9164
11005,16,maps.ie,ie,5861,8547,maps.ie,ie,11034,16,5845,8533
11290,17,breakingnews.ie,ie,5748,9153,breakingnews.ie,ie,11308,17,5739,9105
12325,18,akeo.ie,ie,5429,7515,akeo.ie,ie,12274,18,5443,7516
13723,19,eventbrite.ie,ie,5079,7501,eventbrite.ie,ie,13611,19,5102,7527
16118,20,url.ie,ie,4587,5933,url.ie,ie,16162,20,4576,5921
16883,21,thesun.ie,ie,4471,7287,thesun.ie,ie,16955,21,4456,7245
18256,22,irishstatutebook.ie,ie,4264,5661,irishstatutebook.ie,ie,18198,22,4267,5697
18505,23,joe.ie,ie,4234,6761,joe.ie,ie,18577,23,4217,6747
18987,24,modern.ie,ie,4191,5160,modern.ie,ie,19041,24,4174,5141
19768,25,dit.ie,ie,4103,5348,dit.ie,ie,19633,25,4115,5355
20969,26,dataprotection.ie,ie,3955,5538,dataprotection.ie,ie,21080,26,3944,5506
22078,27,dfa.ie,ie,3824,5041,dfa.ie,ie,22119,27,3821,5043
27726,28,heidi.ie,ie,3373,4178,heidi.ie,ie,27753,28,3375,4180
27932,29,hse.ie,ie,3358,5320,hse.ie,ie,27947,29,3361,5314
28415,30,herald.ie,ie,3328,4831,herald.ie,ie,28734,30,3312,4807
30025,31,citizensinformation.ie,ie,3230,4522,citizensinformation.ie,ie,30073,31,3229,4526
30869,32,entertainment.ie,ie,3184,4706,entertainment.ie,ie,30636,32,3199,4699
32215,33,revenue.ie,ie,3114,4431,revenue.ie,ie,32593,33,3098,4391
34061,34,irishrail.ie,ie,3023,4202,irishrail.ie,ie,34562,34,3002,4184
34687,35,heanet.ie,ie,2995,3456,heanet.ie,ie,34656,35,2998,3453
34888,36,tripadvisor.ie,ie,2985,4972,tripadvisor.ie,ie,35042,36,2979,4955
35264,37,cso.ie,ie,2969,3836,cso.ie,ie,35368,37,2966,3843
36760,38,energygroup.ie,ie,2903,3757,energygroup.ie,ie,37197,40,2885,3750
36927,39,anpost.ie,ie,2896,3983,anpost.ie,ie,36812,38,2902,3987
