word,domainname
die,d.ie
lie,l.ie
tie,t.ie
movie,mov.ie
pie,p.ie
charlie,charl.ie
christie,christ.ie
underlie,underl.ie
bourgeoisie,bourgeois.ie
currie,curr.ie
auntie,aunt.ie
aggie,agg.ie
brownie,brown.ie
magpie,magp.ie
reverie,rever.ie
eerie,eer.ie
calorie,calor.ie
vie,v.ie
nellie,nell.ie
sortie,sort.ie
boogie,boog.ie
bonnie,bonn.ie
nightie,night.ie
indie,ind.ie
caddie,cadd.ie
dickie,dick.ie
billie,bill.ie
birdie,bird.ie
collie,coll.ie
budgie,budg.ie
monie,mon.ie
genie,gen.ie
junkie,junk.ie
untie,unt.ie
yuppie,yupp.ie
belie,bel.ie
freebie,freeb.ie
laddie,ladd.ie
prairie,prair.ie
camaraderie,camarader.ie
goalie,goal.ie
sweetie,sweet.ie
lingerie,linger.ie
coterie,coter.ie
pixie,pix.ie
hippie,hipp.ie
bogie,bog.ie
rookie,rook.ie
lassie,lass.ie
bonhomie,bonhom.ie
corrie,corr.ie
bookie,book.ie
coolie,cool.ie
zombie,zomb.ie
mollie,moll.ie
brasserie,brasser.ie
faerie1,faeri.ie
cookie,cook.ie
dowie,dow.ie
pantie,pant.ie
pardie,pard.ie
papeterie,papeter.ie
overlie,overl.ie
passementerie,passementer.ie
patisserie,patisser.ie
pastie,past.ie
popsie,pops.ie
pommie,pomm.ie
pliskie,plisk.ie
plie,pl.ie
premie,prem.ie
potpie,potp.ie
potsie,pots.ie
pinkie,pink.ie
piggie,pigg.ie
stogie,stog.ie
perdie,perd.ie
poussie,pouss.ie
preemie,preem.ie
preppie,prepp.ie
peerie,peer.ie
pattie,patt.ie
patootie,patoot.ie
porkpie,porkp.ie
outvie,outv.ie
mealie,meal.ie
meanie,mean.ie
meinie,mein.ie
menagerie,menager.ie
microcurie,microcur.ie
millicurie,millicur.ie
mislie,misl.ie
moggie,mogg.ie
mavie,mav.ie
mashie,mash.ie
looie,loo.ie
louie,lou.ie
luckie,luck.ie
luggie,lugg.ie
macchie,macch.ie
mamie,mam.ie
mammie,mamm.ie
marqueterie,marqueter.ie
waffie,waff.ie
moxie,mox.ie
nixie,nix.ie
nudie,nud.ie
oldie,old.ie
oorie,oor.ie
orangerie,oranger.ie
organdie,organd.ie
ourie,our.ie
outlie,outl.ie
niterie,niter.ie
nitchie,nitch.ie
multicurie,multicur.ie
muskie,musk.ie
nannie,nann.ie
nappie,napp.ie
necktie,neckt.ie
newbie,newb.ie
newie,new.ie
newsie,news.ie
loggie,logg.ie
tammie,tamm.ie
trattorie,trattor.ie
trickie,trick.ie
tushie,tush.ie
unsonsie,unsons.ie
valkyrie,valkyr.ie
vauntie,vaunt.ie
vawntie,vawnt.ie
veggie,vegg.ie
townie,town.ie
towie,tow.ie
toughie,tough.ie
tassie,tass.ie
tattie,tatt.ie
tawie,taw.ie
tawpie,tawp.ie
techie,tech.ie
tentie,tent.ie
tittie,titt.ie
tootsie,toots.ie
vegie,veg.ie
vogie,vog.ie
whigmaleerie,whigmaleer.ie
whoopie,whoop.ie
widdie,widd.ie
wienie,wien.ie
woodie,wood.ie
woolie,wool.ie
yippie,yipp.ie
yowie,yow.ie
wheelie,wheel.ie
wellie,well.ie
weirdie,weird.ie
waddie,wadd.ie
walkyrie,walkyr.ie
wallie,wall.ie
wasterie,waster.ie
wastrie,wastr.ie
wedgie,wedg.ie
weenie,ween.ie
weepie,weep.ie
zowie,zow.ie
talkie,talk.ie
primsie,prims.ie
rotisserie,rotisser.ie
saltie,salt.ie
scottie,scott.ie
scrapie,scrap.ie
seecatchie,seecatch.ie
sharpie,sharp.ie
shavie,shav.ie
sheenie,sheen.ie
roomie,room.ie
roadie,road.ie
retie,ret.ie
prossie,pross.ie
prostie,prost.ie
punkie,punk.ie
pyxie,pyx.ie
quickie,quick.ie
ramie,ram.ie
ramilie,ramil.ie
ramillie,ramill.ie
sheltie,shelt.ie
shortie,short.ie
staggie,stagg.ie
steelie,steel.ie
stoolie,stool.ie
stourie,stour.ie
studdie,studd.ie
stymie,stym.ie
superlie,superl.ie
swabbie,swabb.ie
